request_id,request_number,student_id,department_id,department_name,request_type,priority,status,assigned_admin_id,assigned_admin_name,created_at,resolved_at,processing_time_minutes,estimated_time_minutes,manual_steps_count,error_count,requires_manual_review,complexity_score,_day
48,REQ-1047,59192,105,Student Services,Enrollment Letter,Critical,Resolved,5,Samuel Richardson,2024-06-16 13:00,2024-06-16 13:31,17,30,5,0,False,2,2024-06-16
49,REQ-1048,58571,101,Registrar,Fee Clarification,Low,Approved,1,Jason West,2024-04-14 13:00,2024-04-14 14:11,54,55,10,2,True,5,2024-04-14
50,REQ-1049,70258,106,Admissions,ID Card Reissue,Medium,Resolved,13,Monique Davis,2024-01-13 15:45,2024-01-13 16:36,30,25,4,0,False,2,2024-01-13
51,REQ-1050,52245,102,Finance,Scholarship Verification,Medium,Rejected,9,Timothy Ellis,2025-09-22 17:45,2025-09-22 19:29,72,60,10,3,True,5,2025-09-22
52,REQ-1051,33834,103,Academic Affairs,Document Verification,Critical,Resolved,10,Christopher Jones,2024-09-06 16:45,2024-09-06 18:46,106,65,12,1,True,5,2024-09-06
53,REQ-1052,63271,103,Academic Affairs,Fee Clarification,Critical,Approved,10,Christopher Jones,2024-12-14 13:30,2024-12-14 15:15,84,55,10,5,True,5,2024-12-14
54,REQ-1053,39045,107,International Office,ID Card Reissue,Critical,Approved,7,Andrew Carlson,2025-12-08 16:45,2025-12-08 18:04,35,25,4,0,False,2,2025-12-08
55,REQ-1054,69473,103,Academic Affairs,Fee Clarification,High,Approved,10,Christopher Jones,2025-04-29 17:30,2025-04-29 19:17,66,55,10,2,True,5,2025-04-29
56,REQ-1055,34267,103,Academic Affairs,Course Add/Drop,Medium,Pending,3,Debra Shaw,2024-05-03 12:30,2024-05-03 14:00,59,35,6,1,True,4,2024-05-03
57,REQ-1056,33519,106,Admissions,Fee Clarification,High,Approved,13,Monique Davis,2024-10-10 17:30,2024-10-10 19:11,87,55,10,2,True,5,2024-10-10
58,REQ-1057,74340,106,Admissions,Leave Request,Low,Resolved,6,Sheila Curry,2024-10-07 09:00,2024-10-07 10:23,47,45,8,2,True,4,2024-10-07
59,REQ-1058,72616,105,Student Services,Leave Request,Low,Approved,12,Fred Park,2025-04-25 16:45,2025-04-25 17:40,35,45,8,1,True,4,2025-04-25
60,REQ-1059,21164,104,IT Support,Document Verification,Medium,Pending,11,Rachael Hill,2024-03-16 09:15,2024-03-16 10:54,65,65,12,1,True,5,2024-03-16
61,REQ-1060,66207,105,Student Services,Document Verification,High,Resolved,12,Fred Park,2025-09-12 12:45,2025-09-12 14:41,83,65,12,5,True,5,2025-09-12
62,REQ-1061,41439,105,Student Services,Enrollment Letter,Medium,Approved,5,Samuel Richardson,2025-09-16 10:15,2025-09-16 10:58,24,30,5,0,False,2,2025-09-16
63,REQ-1062,47056,101,Registrar,ID Card Reissue,Critical,Approved,1,Jason West,2024-01-03 15:45,2024-01-03 16:38,24,25,4,0,False,2,2024-01-03
64,REQ-1063,44816,106,Admissions,Document Verification,Medium,Resolved,6,Sheila Curry,2024-09-27 12:45,2024-09-27 14:23,73,65,12,4,True,5,2024-09-27
65,REQ-1064,62757,101,Registrar,Document Verification,High,Approved,1,Jason West,2024-11-10 13:45,2024-11-10 15:14,67,65,12,2,True,5,2024-11-10
66,REQ-1065,13390,105,Student Services,ID Card Reissue,Low,Resolved,12,Fred Park,2025-03-24 10:00,2025-03-24 11:13,32,25,4,0,False,2,2025-03-24
67,REQ-1066,46458,106,Admissions,Fee Clarification,Medium,Resolved,6,Sheila Curry,2025-11-19 13:00,2025-11-19 14:17,52,55,10,3,True,5,2025-11-19
68,REQ-1067,31079,104,IT Support,Enrollment Letter,High,Resolved,11,Rachael Hill,2024-04-03 16:30,2024-04-03 17:44,46,30,5,0,False,2,2024-04-03
69,REQ-1068,25194,106,Admissions,Scholarship Verification,Critical,Approved,13,Monique Davis,2024-10-22 15:00,2024-10-22 16:34,73,60,10,3,True,5,2024-10-22
70,REQ-1069,91609,107,International Office,ID Card Reissue,Critical,Rejected,7,Andrew Carlson,2025-11-04 17:45,2025-11-04 18:23,19,25,4,0,False,2,2025-11-04
71,REQ-1070,13783,107,International Office,Hostel Allocation,Medium,Rejected,7,Andrew Carlson,2024-07-27 13:15,2024-07-27 14:40,57,50,7,0,False,3,2024-07-27
72,REQ-1071,94896,103,Academic Affairs,IT Support,Medium,Pending,3,Debra Shaw,2025-07-19 15:00,2025-07-19 15:40,25,30,5,0,False,2,2025-07-19
73,REQ-1072,28958,106,Admissions,Hostel Allocation,Critical,Rejected,13,Monique Davis,2025-06-05 13:45,2025-06-05 15:09,49,50,7,0,False,3,2025-06-05
74,REQ-1073,10336,105,Student Services,Fee Clarification,High,Approved,5,Samuel Richardson,2024-03-12 13:45,2024-03-12 15:58,93,55,10,2,True,5,2024-03-12
75,REQ-1074,59441,107,International Office,Course Add/Drop,Critical,Resolved,14,Michael Pearson,2024-06-01 16:45,2024-06-01 17:50,39,35,6,0,False,3,2024-06-01
76,REQ-1075,71993,107,International Office,Transcript Request,Critical,Approved,7,Andrew Carlson,2025-12-15 12:45,2025-12-15 14:09,48,40,7,3,True,4,2025-12-15
77,REQ-1076,69890,106,Admissions,Scholarship Verification,Low,Approved,6,Sheila Curry,2025-05-22 09:15,2025-05-22 10:49,76,60,10,1,True,5,2025-05-22
78,REQ-1077,20527,104,IT Support,IT Support,High,Approved,4,Megan Mendoza,2024-03-17 16:30,2024-03-17 17:34,30,30,5,0,False,2,2024-03-17
79,REQ-1078,47667,104,IT Support,ID Card Reissue,Medium,Resolved,11,Rachael Hill,2025-10-03 16:00,2025-10-03 16:50,36,25,4,0,False,2,2025-10-03
80,REQ-1079,16028,104,IT Support,Document Verification,High,Pending,4,Megan Mendoza,2025-10-10 10:45,2025-10-10 12:37,80,65,12,0,True,5,2025-10-10
81,REQ-1080,33600,103,Academic Affairs,Leave Request,Medium,Rejected,10,Christopher Jones,2025-01-18 15:15,2025-01-18 16:44,61,45,8,0,False,3,2025-01-18
82,REQ-1081,70236,101,Registrar,IT Support,High,Resolved,8,Angela Odonnell,2025-09-26 12:45,2025-09-26 13:37,36,30,5,0,False,2,2025-09-26
83,REQ-1082,49210,107,International Office,Leave Request,Critical,Pending,14,Michael Pearson,2024-10-21 17:15,2024-10-21 18:27,51,45,8,0,False,3,2024-10-21
84,REQ-1083,85341,104,IT Support,Course Add/Drop,High,Rejected,11,Rachael Hill,2024-07-22 15:45,2024-07-22 16:46,46,35,6,0,False,3,2024-07-22
85,REQ-1084,56179,101,Registrar,Course Add/Drop,Medium,Resolved,8,Angela Odonnell,2024-10-08 09:00,2024-10-08 10:30,61,35,6,1,True,4,2024-10-08
86,REQ-1085,57823,105,Student Services,Fee Clarification,Medium,Approved,12,Fred Park,2025-11-25 11:00,2025-11-25 12:46,91,55,10,5,True,5,2025-11-25
87,REQ-1086,57953,103,Academic Affairs,Document Verification,High,Resolved,10,Christopher Jones,2025-03-01 11:15,2025-03-01 12:57,68,65,12,3,True,5,2025-03-01
88,REQ-1087,39571,103,Academic Affairs,IT Support,Critical,Resolved,10,Christopher Jones,2024-10-29 14:00,2024-10-29 14:55,34,30,5,0,False,2,2024-10-29
89,REQ-1088,98125,103,Academic Affairs,ID Card Reissue,High,Resolved,3,Debra Shaw,2025-02-08 09:30,2025-02-08 10:04,12,25,4,0,False,2,2025-02-08
90,REQ-1089,89964,104,IT Support,Enrollment Letter,Medium,Approved,11,Rachael Hill,2024-04-20 12:45,2024-04-20 13:33,24,30,5,0,False,2,2024-04-20
91,REQ-1090,49893,106,Admissions,Document Verification,Critical,Pending,13,Monique Davis,2025-12-18 13:45,2025-12-18 15:51,114,65,12,2,True,5,2025-12-18
92,REQ-1091,80804,101,Registrar,Document Verification,Critical,Pending,1,Jason West,2025-07-04 11:45,2025-07-04 13:47,92,65,12,1,True,5,2025-07-04
93,REQ-1092,38477,106,Admissions,Enrollment Letter,Critical,Resolved,6,Sheila Curry,2025-02-28 10:45,2025-02-28 11:27,16,30,5,0,False,2,2025-02-28
94,REQ-1093,26011,102,Finance,Hostel Allocation,Critical,Approved,9,Timothy Ellis,2024-04-11 14:30,2024-04-11 15:45,57,50,7,1,True,4,2024-04-11
95,REQ-1094,36896,106,Admissions,Document Verification,Low,Resolved,6,Sheila Curry,2025-10-19 09:00,2025-10-19 10:38,76,65,12,4,True,5,2025-10-19
96,REQ-1095,80807,102,Finance,ID Card Reissue,High,Pending,2,Christopher Baker,2024-08-26 14:15,2024-08-26 14:59,31,25,4,0,False,2,2024-08-26
97,REQ-1096,44782,101,Registrar,IT Support,Low,Approved,1,Jason West,2024-05-14 09:30,2024-05-14 10:32,32,30,5,0,False,2,2024-05-14
98,REQ-1097,24293,106,Admissions,IT Support,Critical,Rejected,13,Monique Davis,2025-06-22 10:00,2025-06-22 10:55,21,30,5,0,False,2,2025-06-22
99,REQ-1098,72781,102,Finance,ID Card Reissue,Critical,Approved,2,Christopher Baker,2025-11-05 17:30,2025-11-05 18:26,17,25,4,0,False,2,2025-11-05
100,REQ-1099,26540,106,Admissions,Scholarship Verification,High,Approved,6,Sheila Curry,2025-05-17 16:00,2025-05-17 17:10,53,60,10,2,True,5,2025-05-17
101,REQ-1100,24996,106,Admissions,Enrollment Letter,Medium,Approved,13,Monique Davis,2025-01-25 17:30,2025-01-25 18:34,29,30,5,0,False,2,2025-01-25
102,REQ-1101,65936,104,IT Support,Scholarship Verification,High,Approved,4,Megan Mendoza,2025-02-27 14:45,2025-02-27 16:15,60,60,10,2,True,5,2025-02-27
103,REQ-1102,58843,103,Academic Affairs,Course Add/Drop,Medium,Approved,3,Debra Shaw,2025-12-04 16:00,2025-12-04 16:21,12,35,6,1,True,4,2025-12-04
104,REQ-1103,16743,101,Registrar,ID Card Reissue,High,Approved,8,Angela Odonnell,2025-11-17 10:45,2025-11-17 11:57,35,25,4,0,False,2,2025-11-17
105,REQ-1104,24184,103,Academic Affairs,Enrollment Letter,High,Approved,10,Christopher Jones,2024-04-16 17:15,2024-04-16 18:39,54,30,5,0,False,2,2024-04-16
106,REQ-1105,45054,103,Academic Affairs,ID Card Reissue,Low,Resolved,3,Debra Shaw,2024-10-12 12:45,2024-10-12 13:26,17,25,4,0,False,2,2024-10-12
107,REQ-1106,19120,103,Academic Affairs,IT Support,Medium,Resolved,10,Christopher Jones,2024-12-13 14:00,2024-12-13 14:37,23,30,5,0,False,2,2024-12-13
108,REQ-1107,52517,101,Registrar,Leave Request,Low,Approved,1,Jason West,2025-01-20 15:45,2025-01-20 17:15,70,45,8,2,True,4,2025-01-20
109,REQ-1108,89570,102,Finance,Leave Request,Critical,Approved,2,Christopher Baker,2025-09-24 09:00,2025-09-24 10:29,62,45,8,0,False,3,2025-09-24
110,REQ-1109,87743,103,Academic Affairs,Scholarship Verification,Critical,Resolved,3,Debra Shaw,2025-06-08 10:30,2025-06-08 11:38,47,60,10,5,True,5,2025-06-08
111,REQ-1110,37686,106,Admissions,ID Card Reissue,Medium,Approved,13,Monique Davis,2024-02-16 12:45,2024-02-16 13:10,19,25,4,0,False,2,2024-02-16
112,REQ-1111,40161,103,Academic Affairs,Course Add/Drop,High,Approved,10,Christopher Jones,2024-05-02 09:45,2024-05-02 10:48,40,35,6,2,True,4,2024-05-02
113,REQ-1112,63008,104,IT Support,Document Verification,Critical,Approved,4,Megan Mendoza,2025-03-22 09:45,2025-03-22 11:23,81,65,12,1,True,5,2025-03-22
114,REQ-1113,23875,101,Registrar,Course Add/Drop,Medium,Approved,8,Angela Odonnell,2024-01-22 14:15,2024-01-22 15:42,46,35,6,1,True,4,2024-01-22
115,REQ-1114,32037,105,Student Services,Scholarship Verification,Low,Approved,12,Fred Park,2025-06-20 10:45,2025-06-20 12:23,61,60,10,3,True,5,2025-06-20
116,REQ-1115,94599,106,Admissions,ID Card Reissue,Medium,Pending,6,Sheila Curry,2025-06-27 17:15,2025-06-27 17:58,16,25,4,0,False,2,2025-06-27
117,REQ-1116,33218,101,Registrar,Fee Clarification,Critical,Resolved,1,Jason West,2024-09-19 12:15,2024-09-19 14:45,117,55,10,1,True,5,2024-09-19
118,REQ-1117,92756,107,International Office,Hostel Allocation,High,Rejected,14,Michael Pearson,2025-11-28 14:30,2025-11-28 15:40,47,50,7,2,True,4,2025-11-28
119,REQ-1118,58331,105,Student Services,Course Add/Drop,High,Approved,5,Samuel Richardson,2024-12-26 17:00,2024-12-26 17:58,30,35,6,2,True,4,2024-12-26
120,REQ-1119,15376,106,Admissions,Document Verification,Critical,Pending,6,Sheila Curry,2025-09-21 17:45,2025-09-21 19:40,78,65,12,1,True,5,2025-09-21
121,REQ-1120,55015,106,Admissions,Enrollment Letter,Low,Resolved,6,Sheila Curry,2024-11-25 16:15,2024-11-25 17:08,33,30,5,0,False,2,2024-11-25
122,REQ-1121,57696,106,Admissions,ID Card Reissue,High,Resolved,6,Sheila Curry,2024-02-10 12:45,2024-02-10 13:45,25,25,4,0,False,2,2024-02-10
123,REQ-1122,60667,104,IT Support,Course Add/Drop,High,Rejected,11,Rachael Hill,2024-12-12 09:30,2024-12-12 10:23,36,35,6,1,True,4,2024-12-12
124,REQ-1123,61374,106,Admissions,Course Add/Drop,Medium,Resolved,6,Sheila Curry,2024-12-07 10:15,2024-12-07 11:16,36,35,6,1,True,4,2024-12-07
125,REQ-1124,99838,106,Admissions,Enrollment Letter,Low,Resolved,6,Sheila Curry,2024-11-13 17:45,2024-11-13 18:28,24,30,5,0,False,2,2024-11-13
126,REQ-1125,73736,105,Student Services,Scholarship Verification,Medium,Pending,12,Fred Park,2024-01-19 14:30,2024-01-19 15:58,72,60,10,5,True,5,2024-01-19
127,REQ-1126,91006,102,Finance,Fee Clarification,Medium,Resolved,2,Christopher Baker,2024-03-20 13:00,2024-03-20 14:18,51,55,10,5,True,5,2024-03-20
128,REQ-1127,41133,104,IT Support,Enrollment Letter,Critical,Approved,4,Megan Mendoza,2024-06-15 11:15,2024-06-15 12:01,26,30,5,0,False,2,2024-06-15
129,REQ-1128,35430,103,Academic Affairs,Enrollment Letter,High,Pending,10,Christopher Jones,2024-08-27 17:15,2024-08-27 18:36,42,30,5,0,False,2,2024-08-27
130,REQ-1129,42768,104,IT Support,Enrollment Letter,Low,Approved,11,Rachael Hill,2024-10-15 15:45,2024-10-15 16:37,36,30,5,0,False,2,2024-10-15
131,REQ-1130,68893,107,International Office,Hostel Allocation,Medium,Approved,14,Michael Pearson,2025-07-21 10:00,2025-07-21 11:04,48,50,7,2,True,4,2025-07-21
132,REQ-1131,40903,101,Registrar,Scholarship Verification,Critical,Rejected,1,Jason West,2025-04-06 14:00,2025-04-06 15:08,49,60,10,3,True,5,2025-04-06
133,REQ-1132,47601,103,Academic Affairs,Document Verification,Critical,Approved,3,Debra Shaw,2024-01-29 14:00,2024-01-29 16:02,82,65,12,2,True,5,2024-01-29
134,REQ-1133,81932,107,International Office,IT Support,Critical,Resolved,14,Michael Pearson,2025-04-04 09:00,2025-04-04 09:33,20,30,5,0,False,2,2025-04-04
135,REQ-1134,91633,107,International Office,Document Verification,Critical,Resolved,14,Michael Pearson,2024-08-31 13:00,2024-08-31 14:34,81,65,12,6,True,5,2024-08-31
136,REQ-1135,10205,101,Registrar,Document Verification,High,Approved,8,Angela Odonnell,2025-09-03 17:00,2025-09-03 19:10,96,65,12,2,True,5,2025-09-03
137,REQ-1136,76535,105,Student Services,Fee Clarification,Low,Rejected,12,Fred Park,2024-07-10 10:30,2024-07-10 12:15,82,55,10,4,True,5,2024-07-10
138,REQ-1137,18855,107,International Office,Scholarship Verification,High,Approved,14,Michael Pearson,2024-02-14 15:30,2024-02-14 16:50,44,60,10,1,True,5,2024-02-14
139,REQ-1138,94252,106,Admissions,Fee Clarification,Medium,Approved,6,Sheila Curry,2025-08-18 14:15,2025-08-18 15:34,62,55,10,2,True,5,2025-08-18
140,REQ-1139,36422,106,Admissions,Hostel Allocation,Low,Approved,13,Monique Davis,2025-10-08 11:15,2025-10-08 12:26,42,50,7,1,True,4,2025-10-08
141,REQ-1140,35048,101,Registrar,Fee Clarification,High,Resolved,8,Angela Odonnell,2024-11-13 17:45,2024-11-13 19:20,67,55,10,1,True,5,2024-11-13
142,REQ-1141,62431,107,International Office,Transcript Request,Critical,Approved,7,Andrew Carlson,2025-11-02 14:30,2025-11-02 15:38,35,40,7,1,True,4,2025-11-02
143,REQ-1142,20345,103,Academic Affairs,Scholarship Verification,Critical,Resolved,3,Debra Shaw,2025-05-23 16:30,2025-05-23 18:44,96,60,10,3,True,5,2025-05-23
144,REQ-1143,50173,107,International Office,Enrollment Letter,Critical,Resolved,7,Andrew Carlson,2025-07-12 13:30,2025-07-12 13:50,10,30,5,0,False,2,2025-07-12
145,REQ-1144,56210,106,Admissions,Enrollment Letter,Critical,Resolved,13,Monique Davis,2024-06-19 16:30,2024-06-19 17:18,28,30,5,0,False,2,2024-06-19
146,REQ-1145,98878,106,Admissions,Course Add/Drop,Critical,Resolved,6,Sheila Curry,2024-03-17 15:30,2024-03-17 16:15,35,35,6,0,False,3,2024-03-17
147,REQ-1146,99006,102,Finance,Leave Request,Critical,Resolved,2,Christopher Baker,2024-08-29 14:30,2024-08-29 16:10,65,45,8,0,False,3,2024-08-29
148,REQ-1147,24869,103,Academic Affairs,Transcript Request,Low,Approved,10,Christopher Jones,2024-03-19 11:30,2024-03-19 12:43,46,40,7,0,False,3,2024-03-19
149,REQ-1148,90199,104,IT Support,IT Support,High,Approved,11,Rachael Hill,2025-07-29 10:30,2025-07-29 11:25,20,30,5,0,False,2,2025-07-29
150,REQ-1149,99381,102,Finance,Hostel Allocation,High,Pending,2,Christopher Baker,2024-05-18 10:45,2024-05-18 12:20,63,50,7,1,True,4,2024-05-18
151,REQ-1150,93584,106,Admissions,Transcript Request,Medium,Resolved,6,Sheila Curry,2025-07-17 17:30,2025-07-17 18:41,52,40,7,0,False,3,2025-07-17
152,REQ-1151,82616,105,Student Services,Transcript Request,High,Approved,5,Samuel Richardson,2024-05-04 12:15,2024-05-04 13:16,24,40,7,2,True,4,2024-05-04
153,REQ-1152,78903,107,International Office,Hostel Allocation,Critical,Resolved,7,Andrew Carlson,2025-09-18 10:00,2025-09-18 11:04,38,50,7,1,True,4,2025-09-18
154,REQ-1153,26821,107,International Office,Scholarship Verification,Medium,Rejected,7,Andrew Carlson,2024-05-08 14:00,2024-05-08 16:15,102,60,10,3,True,5,2024-05-08
155,REQ-1154,39552,104,IT Support,IT Support,High,Approved,4,Megan Mendoza,2024-05-07 17:15,2024-05-07 18:03,29,30,5,0,False,2,2024-05-07
156,REQ-1155,22245,103,Academic Affairs,ID Card Reissue,Medium,Resolved,3,Debra Shaw,2024-09-13 12:30,2024-09-13 13:25,26,25,4,0,False,2,2024-09-13
157,REQ-1156,85598,105,Student Services,Enrollment Letter,High,Pending,5,Samuel Richardson,2024-06-24 14:00,2024-06-24 14:39,32,30,5,0,False,2,2024-06-24
158,REQ-1157,99783,107,International Office,Fee Clarification,Critical,Rejected,14,Michael Pearson,2025-09-24 09:45,2025-09-24 11:22,63,55,10,3,True,5,2025-09-24
159,REQ-1158,54589,104,IT Support,Course Add/Drop,Medium,Rejected,4,Megan Mendoza,2025-12-06 09:15,2025-12-06 10:15,28,35,6,2,True,4,2025-12-06
160,REQ-1159,41685,107,International Office,Transcript Request,Critical,Approved,14,Michael Pearson,2024-12-19 15:15,2024-12-19 16:51,64,40,7,1,True,4,2024-12-19
161,REQ-1160,64805,103,Academic Affairs,Document Verification,Medium,Resolved,10,Christopher Jones,2024-09-10 11:00,2024-09-10 12:38,83,65,12,0,True,5,2024-09-10
